airline,embarked,destination,Route,stops,journey_year,journey_month,journey_day,weekday,dep_hour,dep_min,departure_period,Arrival_hour,Arrival_min,arrival_period,Arrived_next_day,duration_hours,duration_mins,Duration_in_mins,price,additional_info,Air Asia,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Trujet,Vistara,Vistara Premium economy,destination_Banglore,destination_Cochin,destination_Delhi,destination_Hyderabad,destination_Kolkata,source_Banglore,source_Chennai,source_Delhi,source_Kolkata,source_Mumbai,1 stop,2 stops,3 stops,4 stops,non-stop,departure_After noon,departure_early morning,departure_evening,departure_late night,departure_morning,departure_night,arrival_After noon,arrival_early morning,arrival_evening,arrival_late night,arrival_morning,arrival_night
IndiGo,source_Banglore,destination_Delhi,BLR → DEL,non-stop,2019,3,24,6,22,20,departure_night,1,10,arrival_late night,True,2,50,170,3898,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Air India,source_Kolkata,destination_Banglore,CCU → IXR → BBI → BLR,2 stops,2019,1,5,5,5,50,departure_early morning,13,15,arrival_After noon,False,7,25,445,7663,No info,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Jet Airways,source_Delhi,destination_Cochin,DEL → LKO → BOM → COK,2 stops,2019,9,6,4,9,25,departure_morning,4,25,arrival_late night,True,19,0,1140,13883,No info,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
IndiGo,source_Kolkata,destination_Banglore,CCU → NAG → BLR,1 stop,2019,12,5,3,18,5,departure_evening,23,30,arrival_night,False,5,25,325,6219,No info,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
IndiGo,source_Banglore,destination_Delhi,BLR → NAG → DEL,1 stop,2019,1,3,3,16,50,departure_After noon,21,35,arrival_night,False,4,45,285,13303,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SpiceJet,source_Kolkata,destination_Banglore,CCU → BLR,non-stop,2019,6,24,0,9,0,departure_morning,11,25,arrival_morning,False,2,25,145,3874,No info,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Jet Airways,source_Banglore,destination_Delhi,BLR → BOM → DEL,1 stop,2019,12,3,1,18,55,departure_evening,10,25,arrival_morning,True,15,30,930,11088,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Jet Airways,source_Banglore,destination_Delhi,BLR → BOM → DEL,1 stop,2019,1,3,3,8,0,departure_early morning,5,5,arrival_early morning,True,21,5,1265,22271,No info,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Jet Airways,source_Banglore,destination_Delhi,BLR → BOM → DEL,1 stop,2019,12,3,1,8,55,departure_early morning,10,25,arrival_morning,True,25,30,1530,11088,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Multiple carriers,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,5,27,0,11,25,departure_morning,19,15,arrival_evening,False,7,50,470,8626,No info,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Air India,source_Delhi,destination_Cochin,DEL → BLR → COK,1 stop,2019,1,6,6,9,45,departure_morning,23,0,arrival_night,False,13,15,795,8908,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
IndiGo,source_Kolkata,destination_Banglore,CCU → BLR,non-stop,2019,4,18,3,20,20,departure_evening,22,55,arrival_night,False,2,35,155,4175,No info,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Air India,source_Chennai,destination_Kolkata,MAA → CCU,non-stop,2019,6,24,0,11,40,departure_morning,13,55,arrival_After noon,False,2,15,135,4668,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Jet Airways,source_Kolkata,destination_Banglore,CCU → BOM → BLR,1 stop,2019,9,5,3,21,10,departure_night,9,20,arrival_morning,True,12,10,730,9664,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
IndiGo,source_Kolkata,destination_Banglore,CCU → BLR,non-stop,2019,4,24,2,17,15,departure_evening,19,50,arrival_evening,False,2,35,155,4805,No info,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Air India,source_Delhi,destination_Cochin,DEL → AMD → BOM → COK,2 stops,2019,3,3,6,16,40,departure_After noon,19,15,arrival_evening,True,26,35,1595,14012,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
SpiceJet,source_Delhi,destination_Cochin,DEL → PNQ → COK,1 stop,2019,4,15,0,8,45,departure_early morning,13,15,arrival_After noon,False,4,30,270,5831,No info,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Jet Airways,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,12,6,4,14,0,departure_After noon,12,35,arrival_morning,True,22,35,1355,10263,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Air India,source_Delhi,destination_Cochin,DEL → CCU → BOM → COK,2 stops,2019,12,6,4,20,15,departure_evening,19,15,arrival_evening,True,23,0,1380,13382,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Jet Airways,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,5,27,0,16,0,departure_After noon,12,35,arrival_morning,True,20,35,1235,12899,In-flight meal not included,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
GoAir,source_Delhi,destination_Cochin,DEL → BOM → COK,1 stop,2019,6,3,0,14,10,departure_After noon,19,20,arrival_evening,False,5,10,310,19496,No info,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Air India,source_Banglore,destination_Delhi,BLR → COK → DEL,1 stop,2019,3,21,3,22,0,departure_night,13,20,arrival_After noon,True,15,20,920,6956,No info,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
IndiGo,source_Banglore,destination_Delhi,BLR → DEL,non-stop,2019,3,4,0,4,0,departure_late night,6,50,arrival_early morning,False,2,50,170,3944,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
IndiGo,source_Banglore,destination_Delhi,BLR → DEL,non-stop,2019,1,5,5,18,55,departure_evening,21,50,arrival_night,False,2,55,175,4824,No info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
