,Airline,Source,Destination,Route,Total_Stops,Price,journey_year,journey_month,journey_day,dep_hour,dep_min,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_min,duration_hours,duration_mins
0,0,0,3,BLR → DEL,0,3898,2019,3,24,22,20,2022,3,22,1,10,2,50
1,1,1,0,CCU → IXR → BBI → BLR,2,7663,2019,1,5,5,50,2022,2,15,13,15,7,25
2,2,2,5,DEL → LKO → BOM → COK,2,13883,2019,9,6,9,25,2022,6,10,4,25,19,0
3,0,1,0,CCU → NAG → BLR,1,6219,2019,12,5,18,5,2022,2,15,23,30,5,25
4,0,0,3,BLR → NAG → DEL,1,13303,2019,1,3,16,50,2022,2,15,21,35,4,45
5,3,1,0,CCU → BLR,0,3874,2019,6,24,9,0,2022,2,15,11,25,2,25
6,2,0,3,BLR → BOM → DEL,1,11088,2019,12,3,18,55,2022,3,13,10,25,15,30
7,2,0,3,BLR → BOM → DEL,1,22271,2019,1,3,8,0,2022,3,2,5,5,21,5
8,2,0,3,BLR → BOM → DEL,1,11088,2019,12,3,8,55,2022,3,13,10,25,25,30
9,4,2,5,DEL → BOM → COK,1,8626,2019,5,27,11,25,2022,2,15,19,15,7,50
10,1,2,5,DEL → BLR → COK,1,8908,2019,1,6,9,45,2022,2,15,23,0,13,15
11,0,1,0,CCU → BLR,0,4175,2019,4,18,20,20,2022,2,15,22,55,2,35
12,1,3,1,MAA → CCU,0,4668,2019,6,24,11,40,2022,2,15,13,55,2,15
13,2,1,0,CCU → BOM → BLR,1,9664,2019,9,5,21,10,2022,5,10,9,20,12,10
14,0,1,0,CCU → BLR,0,4805,2019,4,24,17,15,2022,2,15,19,50,2,35
15,1,2,5,DEL → AMD → BOM → COK,2,14012,2019,3,3,16,40,2022,3,4,19,15,26,35
16,3,2,5,DEL → PNQ → COK,1,5831,2019,4,15,8,45,2022,2,15,13,15,4,30
17,2,2,5,DEL → BOM → COK,1,10263,2019,12,6,14,0,2022,6,13,12,35,22,35
18,1,2,5,DEL → CCU → BOM → COK,2,13382,2019,12,6,20,15,2022,6,13,19,15,23,0
19,2,2,5,DEL → BOM → COK,1,12899,2019,5,27,16,0,2022,5,28,12,35,20,35
20,5,2,5,DEL → BOM → COK,1,19496,2019,6,3,14,10,2022,2,15,19,20,5,10
21,1,0,3,BLR → COK → DEL,1,6956,2019,3,21,22,0,2022,3,19,13,20,15,20
22,0,0,2,BLR → DEL,0,3944,2019,3,4,4,0,2022,2,15,6,50,2,50
23,0,0,2,BLR → DEL,0,4824,2019,1,5,18,55,2022,2,15,21,50,2,55
24,2,1,0,CCU → BOM → BLR,1,7758,2019,6,5,18,55,2022,5,7,8,15,13,20
25,2,2,5,DEL → IDR → BOM → COK,2,13293,2019,9,6,21,25,2022,6,10,12,35,15,10
26,0,2,5,DEL → LKO → COK,1,8239,2019,1,6,21,50,2022,6,2,3,35,5,45
27,5,2,5,DEL → BOM → COK,1,7683,2019,5,15,7,0,2022,2,15,12,55,5,55
28,6,0,2,BLR → DEL,0,4669,2019,6,18,9,45,2022,2,15,12,35,2,50
29,6,3,1,MAA → CCU,0,3688,2019,6,15,7,5,2022,2,15,9,20,2,15
30,6,3,1,MAA → CCU,0,3688,2019,6,18,7,5,2022,2,15,9,20,2,15
31,1,1,0,CCU → GAU → DEL → BLR,2,13228,2019,1,5,9,50,2022,2,15,23,15,13,25
32,0,0,2,BLR → DEL,0,4424,2019,6,4,4,0,2022,2,15,6,50,2,50
33,2,2,5,DEL → NAG → BOM → COK,2,10920,2019,6,15,14,35,2022,6,16,12,35,22,0
