,airline,embarked,destination,stops,journey_year,journey_month,journey_day,dep_hour,dep_min,departure_time,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_min,arrival_time,price,additional_info
0,IndiGo,Banglore,New Delhi,non-stop,2019,3,24,22,20,night,2022,3,22,1,10,late night,3898,No info
1,Air India,Kolkata,Banglore,2 stops,2019,1,5,5,50,early morning,2022,2,16,13,15,After noon,7663,No info
2,Jet Airways,Delhi,Cochin,2 stops,2019,9,6,9,25,morning,2022,6,10,4,25,late night,13883,No info
3,IndiGo,Kolkata,Banglore,1 stop,2019,12,5,18,5,evening,2022,2,16,23,30,night,6219,No info
4,IndiGo,Banglore,New Delhi,1 stop,2019,1,3,16,50,After noon,2022,2,16,21,35,night,13303,No info
5,SpiceJet,Kolkata,Banglore,non-stop,2019,6,24,9,0,morning,2022,2,16,11,25,morning,3874,No info
6,Jet Airways,Banglore,New Delhi,1 stop,2019,12,3,18,55,evening,2022,3,13,10,25,morning,11088,In-flight meal not included
7,Jet Airways,Banglore,New Delhi,1 stop,2019,1,3,8,0,early morning,2022,3,2,5,5,early morning,22271,No info
8,Jet Airways,Banglore,New Delhi,1 stop,2019,12,3,8,55,early morning,2022,3,13,10,25,morning,11088,In-flight meal not included
9,Multiple carriers,Delhi,Cochin,1 stop,2019,5,27,11,25,morning,2022,2,16,19,15,evening,8626,No info
10,Air India,Delhi,Cochin,1 stop,2019,1,6,9,45,morning,2022,2,16,23,0,night,8908,No info
11,IndiGo,Kolkata,Banglore,non-stop,2019,4,18,20,20,evening,2022,2,16,22,55,night,4175,No info
12,Air India,Chennai,Kolkata,non-stop,2019,6,24,11,40,morning,2022,2,16,13,55,After noon,4668,No info
13,Jet Airways,Kolkata,Banglore,1 stop,2019,9,5,21,10,night,2022,5,10,9,20,morning,9664,In-flight meal not included
14,IndiGo,Kolkata,Banglore,non-stop,2019,4,24,17,15,evening,2022,2,16,19,50,evening,4805,No info
15,Air India,Delhi,Cochin,2 stops,2019,3,3,16,40,After noon,2022,3,4,19,15,evening,14012,No info
16,SpiceJet,Delhi,Cochin,1 stop,2019,4,15,8,45,early morning,2022,2,16,13,15,After noon,5831,No info
17,Jet Airways,Delhi,Cochin,1 stop,2019,12,6,14,0,After noon,2022,6,13,12,35,morning,10263,In-flight meal not included
18,Air India,Delhi,Cochin,2 stops,2019,12,6,20,15,evening,2022,6,13,19,15,evening,13382,No info
19,Jet Airways,Delhi,Cochin,1 stop,2019,5,27,16,0,After noon,2022,5,28,12,35,morning,12899,In-flight meal not included
20,GoAir,Delhi,Cochin,1 stop,2019,6,3,14,10,After noon,2022,2,16,19,20,evening,19496,No info
21,Air India,Banglore,New Delhi,1 stop,2019,3,21,22,0,night,2022,3,19,13,20,After noon,6956,No info
22,IndiGo,Banglore,Delhi,non-stop,2019,3,4,4,0,late night,2022,2,16,6,50,early morning,3944,No info
23,IndiGo,Banglore,Delhi,non-stop,2019,1,5,18,55,evening,2022,2,16,21,50,night,4824,No info
24,Jet Airways,Kolkata,Banglore,1 stop,2019,6,5,18,55,evening,2022,5,7,8,15,early morning,7758,In-flight meal not included
25,Jet Airways,Delhi,Cochin,2 stops,2019,9,6,21,25,night,2022,6,10,12,35,morning,13293,No info
26,IndiGo,Delhi,Cochin,1 stop,2019,1,6,21,50,night,2022,6,2,3,35,late night,8239,No info
27,GoAir,Delhi,Cochin,1 stop,2019,5,15,7,0,early morning,2022,2,16,12,55,morning,7683,No info
28,Vistara,Banglore,Delhi,non-stop,2019,6,18,9,45,morning,2022,2,16,12,35,morning,4669,No info
29,Vistara,Chennai,Kolkata,non-stop,2019,6,15,7,5,early morning,2022,2,16,9,20,morning,3688,No info
30,Vistara,Chennai,Kolkata,non-stop,2019,6,18,7,5,early morning,2022,2,16,9,20,morning,3688,No info
31,Air India,Kolkata,Banglore,2 stops,2019,1,5,9,50,morning,2022,2,16,23,15,night,13228,No info
32,IndiGo,Banglore,Delhi,non-stop,2019,6,4,4,0,late night,2022,2,16,6,50,early morning,4424,No info
33,Jet Airways,Delhi,Cochin,2 stops,2019,6,15,14,35,After noon,2022,6,16,12,35,morning,10920,In-flight meal not included
34,Jet Airways,Delhi,Cochin,1 stop,2019,5,18,7,5,early morning,2022,2,16,12,35,morning,12374,In-flight meal not included
35,IndiGo,Delhi,Cochin,1 stop,2019,6,27,10,35,morning,2022,2,16,21,0,night,5895,No info
36,SpiceJet,Kolkata,Banglore,1 stop,2019,5,21,15,5,After noon,2022,2,16,20,20,evening,4650,No info
37,Air India,Kolkata,Banglore,non-stop,2019,5,18,14,15,After noon,2022,2,16,16,45,After noon,6246,No info
38,Jet Airways,Banglore,New Delhi,1 stop,2019,6,3,7,0,early morning,2022,2,16,13,15,After noon,19226,No info
39,Jet Airways,Delhi,Cochin,1 stop,2019,3,6,7,5,early morning,2022,2,16,19,0,evening,14925,No info
40,Multiple carriers,Delhi,Cochin,1 stop,2019,5,21,7,5,early morning,2022,2,16,18,10,evening,9647,No info
41,Air India,Banglore,New Delhi,1 stop,2019,3,15,6,45,early morning,2022,2,16,15,15,After noon,8715,No info
42,Jet Airways,Delhi,Cochin,1 stop,2019,5,18,20,55,evening,2022,5,19,19,0,evening,12374,In-flight meal not included
43,Air Asia,Banglore,Delhi,non-stop,2019,6,5,11,10,morning,2022,2,16,13,55,After noon,3384,No info
44,Multiple carriers,Delhi,Cochin,1 stop,2019,3,21,9,0,morning,2022,2,16,21,0,night,13063,No info
45,SpiceJet,Banglore,New Delhi,non-stop,2019,3,24,5,45,early morning,2022,2,16,8,35,early morning,3528,No check-in baggage included
46,IndiGo,Banglore,Delhi,non-stop,2019,5,27,4,0,late night,2022,2,16,6,50,early morning,3944,No info
47,Air India,Chennai,Kolkata,non-stop,2019,3,5,11,40,morning,2022,2,16,13,55,After noon,4668,No info
48,Air India,Kolkata,Banglore,1 stop,2019,5,15,19,0,evening,2022,5,16,11,5,morning,6118,No info
49,Jet Airways,Delhi,Cochin,2 stops,2019,6,27,23,5,night,2022,6,28,19,0,evening,11151,In-flight meal not included
50,Jet Airways,Delhi,Cochin,non-stop,2019,9,3,11,0,morning,2022,2,16,14,15,After noon,7203,In-flight meal not included
51,Jet Airways,Kolkata,Banglore,1 stop,2019,1,5,9,35,morning,2022,5,2,10,55,morning,12122,No info
52,IndiGo,Banglore,New Delhi,non-stop,2019,3,24,22,20,night,2022,3,28,1,10,late night,4378,No info
53,IndiGo,Banglore,Delhi,non-stop,2019,6,18,21,15,night,2022,6,19,0,15,late night,3944,No info
54,Air Asia,Banglore,Delhi,non-stop,2019,3,4,23,55,night,2022,4,4,2,45,late night,4484,No info
55,Jet Airways,Kolkata,Banglore,1 stop,2019,3,24,19,45,evening,2022,3,25,12,0,morning,14232,No info
56,Air India,Banglore,New Delhi,2 stops,2019,1,3,8,50,early morning,2022,2,16,23,55,night,17346,No info
57,Vistara,Chennai,Kolkata,non-stop,2019,6,3,7,5,early morning,2022,2,16,9,20,morning,7415,No info
58,Multiple carriers,Delhi,Cochin,1 stop,2019,6,5,19,0,evening,2022,5,7,1,30,late night,8074,No info
59,Vistara,Mumbai,Hyderabad,1 stop,2019,6,3,15,40,After noon,2022,3,7,16,45,After noon,12396,No info
60,Air India,Kolkata,Banglore,1 stop,2019,6,6,9,25,morning,2022,2,16,21,50,night,8367,No info
61,Air India,Delhi,Cochin,1 stop,2019,3,4,6,5,early morning,2022,4,4,9,25,morning,5118,No info
62,Multiple carriers,Delhi,Cochin,1 stop,2019,3,6,8,45,early morning,2022,2,16,19,0,evening,12525,No info
63,IndiGo,Delhi,Cochin,1 stop,2019,5,15,15,0,After noon,2022,5,16,1,30,late night,7192,No info
64,Vistara,Chennai,Kolkata,non-stop,2019,5,24,7,5,early morning,2022,2,16,9,20,morning,3688,No info
65,IndiGo,Delhi,Cochin,1 stop,2019,6,24,10,35,morning,2022,2,16,21,0,night,5895,No info
66,Vistara,Banglore,Delhi,non-stop,2019,4,24,9,45,morning,2022,2,16,12,35,morning,5404,No info
67,Air India,Mumbai,Hyderabad,non-stop,2019,6,5,13,55,After noon,2022,2,16,15,25,After noon,3626,No info
68,Air India,Delhi,Cochin,2 stops,2019,5,21,5,55,early morning,2022,2,16,19,15,evening,10862,No info
69,IndiGo,Chennai,Kolkata,non-stop,2019,12,3,13,20,After noon,2022,2,16,15,35,After noon,6298,No info
70,Jet Airways,Mumbai,Hyderabad,non-stop,2019,1,6,7,5,early morning,2022,2,16,8,30,early morning,5679,No info
71,Jet Airways,Banglore,New Delhi,1 stop,2019,9,3,5,45,early morning,2022,3,13,8,15,early morning,9135,In-flight meal not included
72,Multiple carriers,Delhi,Cochin,1 stop,2019,6,24,11,40,morning,2022,2,16,19,0,evening,10792,In-flight meal not included
73,Jet Airways,Delhi,Cochin,2 stops,2019,6,24,23,5,night,2022,6,25,12,35,morning,12820,No info
74,IndiGo,Delhi,Cochin,1 stop,2019,3,21,5,5,early morning,2022,2,16,10,5,morning,6894,No info
75,Vistara,Banglore,New Delhi,non-stop,2019,9,3,9,50,morning,2022,2,16,12,35,morning,7241,No info
76,GoAir,Banglore,Delhi,non-stop,2019,3,4,11,40,morning,2022,2,16,14,30,After noon,3899,No info
77,IndiGo,Mumbai,Hyderabad,non-stop,2019,3,4,6,25,early morning,2022,2,16,7,55,early morning,4050,No info
78,Jet Airways,Delhi,Cochin,1 stop,2019,6,15,17,30,evening,2022,6,16,12,35,morning,10263,In-flight meal not included
79,SpiceJet,Chennai,Kolkata,non-stop,2019,3,21,8,20,early morning,2022,2,16,10,35,morning,3333,No check-in baggage included
80,Jet Airways,Kolkata,Banglore,1 stop,2019,9,6,21,10,night,2022,6,10,12,0,morning,10845,In-flight meal not included
81,Jet Airways,Banglore,New Delhi,non-stop,2019,3,24,19,55,evening,2022,2,16,22,35,night,7230,No info
82,Jet Airways,Kolkata,Banglore,1 stop,2019,6,5,6,30,early morning,2022,5,7,4,40,late night,13942,No info
83,IndiGo,Delhi,Cochin,1 stop,2019,6,27,11,25,morning,2022,2,16,21,0,night,5895,No info
84,Multiple carriers,Delhi,Cochin,1 stop,2019,5,18,9,0,morning,2022,2,16,19,0,evening,10198,No info
85,Jet Airways,Banglore,New Delhi,1 stop,2019,6,3,14,5,After noon,2022,3,7,11,25,morning,13713,In-flight meal not included
86,IndiGo,Delhi,Cochin,1 stop,2019,6,24,2,0,late night,2022,2,16,7,25,early morning,5637,No info
87,Jet Airways,Delhi,Cochin,2 stops,2019,6,6,9,40,morning,2022,6,7,4,25,late night,13015,No info
88,Jet Airways,Kolkata,Banglore,1 stop,2019,1,4,8,25,early morning,2022,2,16,20,45,evening,7065,In-flight meal not included
89,Jet Airways,Kolkata,Banglore,1 stop,2019,5,24,20,25,evening,2022,5,25,14,25,After noon,10704,In-flight meal not included
90,Multiple carriers,Delhi,Cochin,1 stop,2019,5,27,13,15,After noon,2022,2,16,22,30,night,9647,No info
91,Multiple carriers,Delhi,Cochin,1 stop,2019,6,3,2,15,late night,2022,2,16,13,20,After noon,17058,No info
92,Jet Airways,Banglore,New Delhi,1 stop,2019,12,3,16,55,After noon,2022,3,13,10,25,morning,13818,No info
93,Air India,Delhi,Cochin,2 stops,2019,6,3,5,55,early morning,2022,2,16,19,15,evening,13749,No info
94,Air India,Kolkata,Banglore,non-stop,2019,4,21,20,45,evening,2022,2,16,23,20,night,4881,No info
95,IndiGo,Chennai,Kolkata,non-stop,2019,6,21,5,15,early morning,2022,2,16,7,40,early morning,3541,No info
96,SpiceJet,Banglore,Delhi,non-stop,2019,5,15,5,55,early morning,2022,2,16,8,35,early morning,3258,No check-in baggage included
97,Jet Airways,Banglore,Delhi,non-stop,2019,3,6,19,50,evening,2022,2,16,22,50,night,6479,In-flight meal not included
98,Jet Airways,Mumbai,Hyderabad,non-stop,2019,6,18,7,5,early morning,2022,2,16,8,30,early morning,8041,No info
99,Jet Airways,Delhi,Cochin,2 stops,2019,12,6,20,0,evening,2022,6,13,12,35,morning,14301,No info
100,Jet Airways,Kolkata,Banglore,1 stop,2019,5,15,8,25,early morning,2022,2,16,20,45,evening,14782,No info
101,Jet Airways,Kolkata,Banglore,1 stop,2019,9,6,20,0,evening,2022,6,10,8,15,early morning,14940,No info
102,Jet Airways,Delhi,Cochin,1 stop,2019,6,24,20,55,evening,2022,6,25,4,25,late night,10263,In-flight meal not included
103,Air India,Kolkata,Banglore,1 stop,2019,12,5,14,35,After noon,2022,5,13,14,35,After noon,6529,No info
104,Air India,Banglore,Delhi,non-stop,2019,1,5,6,10,early morning,2022,2,16,8,55,early morning,6122,No info
105,Jet Airways,Delhi,Cochin,2 stops,2019,5,18,19,30,evening,2022,5,19,4,25,late night,13030,In-flight meal not included
106,Multiple carriers,Delhi,Cochin,1 stop,2019,3,27,11,40,morning,2022,2,16,18,50,evening,11422,No info
107,Multiple carriers,Delhi,Cochin,1 stop,2019,3,27,4,45,late night,2022,2,16,19,15,evening,7575,No info
108,Air India,Delhi,Cochin,2 stops,2019,9,5,12,55,morning,2022,5,10,19,15,evening,11597,No info
109,Jet Airways,Delhi,Cochin,2 stops,2019,5,24,23,5,night,2022,5,25,19,0,evening,15130,No info
110,Jet Airways,Banglore,New Delhi,1 stop,2019,3,18,14,5,After noon,2022,3,16,5,5,early morning,13556,No info
111,IndiGo,Banglore,Delhi,non-stop,2019,12,4,18,55,evening,2022,2,16,21,50,night,5781,No info
112,Vistara,Kolkata,Banglore,1 stop,2019,12,5,20,20,evening,2022,5,13,9,5,morning,9398,No info
113,Jet Airways,Delhi,Cochin,1 stop,2019,6,3,18,15,evening,2022,3,7,4,25,late night,17025,No info
114,GoAir,Delhi,Cochin,1 stop,2019,6,27,7,0,early morning,2022,2,16,12,55,morning,5282,No info
115,Multiple carriers,Delhi,Cochin,1 stop,2019,5,18,7,5,early morning,2022,2,16,22,30,night,10349,No info
116,Air India,Delhi,Cochin,1 stop,2019,6,3,17,20,evening,2022,3,7,9,25,morning,12678,No info
117,Multiple carriers,Delhi,Cochin,1 stop,2019,3,3,15,25,After noon,2022,3,4,1,35,late night,15148,No info
118,Vistara,Banglore,Delhi,non-stop,2019,12,6,7,0,early morning,2022,2,16,9,40,morning,4669,No info
119,Jet Airways,Delhi,Cochin,1 stop,2019,9,5,7,5,early morning,2022,2,16,19,0,evening,15555,No info
120,SpiceJet,Banglore,Delhi,non-stop,2019,9,4,5,55,early morning,2022,2,16,8,35,early morning,3972,No info
121,Air India,Mumbai,Hyderabad,non-stop,2019,3,5,15,0,After noon,2022,2,16,16,25,After noon,3101,No info
122,Jet Airways,Kolkata,Banglore,1 stop,2019,6,5,20,0,evening,2022,5,7,10,5,morning,9664,In-flight meal not included
123,Air India,Delhi,Cochin,1 stop,2019,1,3,23,0,night,2022,3,2,19,15,evening,27431,No info
124,IndiGo,Chennai,Kolkata,non-stop,2019,12,5,5,15,early morning,2022,2,16,7,40,early morning,3541,No info
125,Air India,Kolkata,Banglore,2 stops,2019,5,21,12,0,morning,2022,5,22,11,10,morning,10677,No info
126,Jet Airways,Kolkata,Banglore,1 stop,2019,12,6,14,5,After noon,2022,6,13,8,15,early morning,13045,No info
127,Jet Airways,Kolkata,Banglore,1 stop,2019,6,5,20,0,evening,2022,5,7,12,0,morning,14389,No info
128,IndiGo,Banglore,Delhi,non-stop,2019,6,24,4,0,late night,2022,2,16,6,50,early morning,3944,No info
129,IndiGo,Chennai,Kolkata,non-stop,2019,3,6,14,45,After noon,2022,2,16,17,5,evening,3598,No info
130,Air India,Banglore,New Delhi,1 stop,2019,3,21,11,50,morning,2022,2,16,19,50,evening,5933,No info
131,Jet Airways,Delhi,Cochin,1 stop,2019,6,15,11,30,morning,2022,6,16,4,25,late night,10263,In-flight meal not included
132,Vistara,Delhi,Cochin,non-stop,2019,12,5,14,40,After noon,2022,2,16,17,50,evening,6217,No info
133,IndiGo,Kolkata,Banglore,non-stop,2019,6,15,20,25,evening,2022,2,16,23,10,night,4805,No info
134,Multiple carriers,Delhi,Cochin,1 stop,2019,5,21,11,30,morning,2022,5,22,1,30,late night,14068,No info
135,Jet Airways,Delhi,Cochin,2 stops,2019,5,18,19,10,evening,2022,5,19,19,0,evening,15130,No info
136,Jet Airways,Delhi,Cochin,2 stops,2019,6,6,6,45,early morning,2022,6,7,4,25,late night,13377,No info
137,Air India,Delhi,Cochin,2 stops,2019,6,27,22,0,night,2022,6,28,19,15,evening,10442,No info
138,Jet Airways,Banglore,Delhi,non-stop,2019,5,24,6,0,early morning,2022,2,16,8,45,early morning,4031,In-flight meal not included
139,Jet Airways,Delhi,Cochin,1 stop,2019,3,3,8,0,early morning,2022,2,16,18,50,evening,17025,No info
140,Multiple carriers,Delhi,Cochin,1 stop,2019,9,4,17,30,evening,2022,4,10,1,30,late night,13018,No info
141,GoAir,Kolkata,Banglore,1 stop,2019,6,6,23,30,night,2022,6,7,7,45,early morning,6687,No info
142,IndiGo,Delhi,Cochin,1 stop,2019,6,15,2,0,late night,2022,2,16,7,25,early morning,5637,No info
143,IndiGo,Delhi,Cochin,1 stop,2019,9,6,7,35,early morning,2022,2,16,16,10,After noon,6443,No info
144,Multiple carriers,Delhi,Cochin,1 stop,2019,5,21,13,5,After noon,2022,5,22,0,55,late night,9487,No info
145,Jet Airways,Kolkata,Banglore,1 stop,2019,5,21,20,0,evening,2022,5,22,23,35,night,10845,In-flight meal not included
146,Jet Airways,Delhi,Cochin,2 stops,2019,3,6,20,0,evening,2022,6,4,4,25,late night,15319,In-flight meal not included
147,Air India,Delhi,Cochin,1 stop,2019,3,4,12,30,morning,2022,4,4,9,25,morning,5118,No info
148,IndiGo,Delhi,Cochin,1 stop,2019,6,24,15,10,After noon,2022,2,16,20,0,evening,6148,No info
149,Multiple carriers,Delhi,Cochin,1 stop,2019,9,6,12,50,morning,2022,2,16,21,0,night,7006,No info
150,SpiceJet,Kolkata,Banglore,non-stop,2019,3,4,22,20,night,2022,4,4,0,40,late night,3874,No info
151,Jet Airways,Delhi,Cochin,2 stops,2019,3,21,18,25,evening,2022,3,22,18,50,evening,9271,In-flight meal not included
152,GoAir,Banglore,Delhi,non-stop,2019,6,27,11,40,morning,2022,2,16,14,30,After noon,3899,No info
153,Jet Airways,Kolkata,Banglore,1 stop,2019,12,5,8,25,early morning,2022,2,16,20,45,evening,14782,No info
154,Jet Airways,Kolkata,Banglore,1 stop,2019,5,24,20,0,evening,2022,5,25,8,15,early morning,8587,In-flight meal not included
155,Air India,Kolkata,Banglore,2 stops,2019,9,5,8,20,early morning,2022,5,10,7,55,early morning,10698,No info
156,Jet Airways,Delhi,Cochin,2 stops,2019,6,27,20,0,evening,2022,6,28,12,35,morning,14301,No info
157,IndiGo,Banglore,New Delhi,non-stop,2019,3,3,18,55,evening,2022,2,16,21,45,night,8856,No info
158,Jet Airways,Kolkata,Banglore,1 stop,2019,12,5,16,30,After noon,2022,5,13,18,15,evening,10845,In-flight meal not included
159,Jet Airways,Delhi,Cochin,1 stop,2019,6,3,2,15,late night,2022,3,7,4,25,late night,17025,No info
160,Jet Airways,Kolkata,Banglore,1 stop,2019,1,5,9,35,morning,2022,5,2,14,25,After noon,9315,In-flight meal not included
161,IndiGo,Banglore,New Delhi,non-stop,2019,3,24,0,40,late night,2022,2,16,3,25,late night,4778,No info
162,Air India,Kolkata,Banglore,1 stop,2019,9,6,12,0,morning,2022,6,10,13,15,After noon,7663,No info
163,IndiGo,Delhi,Cochin,1 stop,2019,9,5,6,50,early morning,2022,2,16,16,10,After noon,6443,No info
164,SpiceJet,Delhi,Cochin,1 stop,2019,12,6,8,45,early morning,2022,2,16,13,15,After noon,5265,No info
165,Jet Airways,Delhi,Cochin,1 stop,2019,5,27,13,0,After noon,2022,5,28,4,25,late night,12899,In-flight meal not included
